iter	Passed	Remaining
193	546	2269
194	550	2271
195	554	2272
196	600	2447
197	607	2462
198	612	2467
199	617	2469
200	622	2474
201	627	2477
202	631	2480
203	640	2499
204	645	2503
205	649	2505
206	659	2526
207	663	2527
208	700	2650
209	710	2670
210	721	2699
211	746	2773
212	761	2814
213	770	2829
214	777	2839
215	789	2865
216	805	2906
217	810	2907
218	817	2916
219	824	2921
220	855	3014
221	870	3051
222	876	3055
223	882	3058
224	888	3060
225	894	3063
226	901	3068
227	905	3067
228	911	3067
229	915	3065
230	922	3071
231	927	3070
232	932	3068
233	937	3067
234	941	3064
235	945	3061
236	951	3062
237	956	3061
238	960	3058
239	967	3062
240	973	3065
241	981	3074
242	988	3079
243	997	3090
244	1006	3103
245	1014	3110
246	1021	3113
247	1030	3125
248	1035	3124
249	1043	3131
250	1050	3136
251	1057	3138
252	1063	3140
253	1069	3141
254	1077	3148
255	1083	3148
256	1091	3156
257	1099	3161
258	1105	3163
259	1111	3164
260	1116	3162
261	1121	3159
262	1125	3154
263	1131	3155
264	1137	3154
265	1141	3150
266	1146	3148
267	1152	3146
268	1156	3141
269	1160	3137
270	1165	3136
271	1170	3132
272	1173	3126
273	1180	3126
274	1185	3124
275	1189	3119
276	1195	3119
277	1202	3122
278	1208	3123
279	1213	3121
280	1219	3119
281	1225	3119
282	1230	3116
283	1236	3116
284	1248	3132
285	1253	3130
286	1262	3135
287	1267	3132
288	1275	3137
289	1281	3136
290	1289	3140
291	1297	3145
292	1303	3144
293	1309	3143
294	1313	3139
295	1321	3143
296	1327	3142
297	1334	3144
298	1339	3141
299	1344	3136
300	1350	3135
301	1354	3131
302	1358	3124
303	1364	3124
304	1370	3122
305	1374	3116
306	1383	3122
307	1390	3123
308	1397	3126
309	1403	3124
310	1416	3137
311	1424	3140
312	1430	3139
313	1435	3136
314	1443	3138
315	1449	3138
316	1456	3137
317	1461	3135
318	1466	3130
319	1474	3132
320	1479	3128
321	1484	3125
322	1490	3123
323	1495	3120
324	1503	3123
325	1513	3129
326	1526	3142
327	1540	3155
328	1549	3160
329	1557	3161
330	1571	3175
331	1585	3189
332	1595	3196
333	1605	3200
334	1618	3211
335	1627	3216
336	1636	3218
337	1643	3219
338	1649	3216
339	1657	3217
340	1663	3214
341	1671	3216
342	1677	3212
343	1683	3209
344	1689	3207
345	1695	3203
346	1701	3202
347	1708	3201
348	1715	3200
349	1721	3197
350	1727	3193
351	1734	3192
352	1739	3188
353	1746	3186
354	1753	3185
355	1762	3187
356	1768	3185
357	1776	3185
358	1785	3188
359	1793	3187
360	1804	3193
361	1815	3200
362	1824	3201
363	1835	3206
364	1848	3216
365	1860	3222
366	1867	3220
367	1876	3222
368	1889	3231
369	1899	3234
370	1905	3230
371	1913	3230
372	1929	3243
373	1937	3242
374	1944	3241
375	1952	3240
376	1959	3238
377	1966	3235
378	1975	3236
379	1982	3234
380	1990	3234
381	1997	3231
382	2004	3228
383	2011	3227
384	2021	3228
385	2032	3232
386	2040	3232
387	2054	3241
388	2062	3239
389	2075	3245
390	2082	3244
391	2093	3246
392	2103	3248
393	2109	3244
394	2118	3244
395	2129	3247
396	2140	3250
397	2162	3271
398	2176	3278
399	2193	3290
400	2209	3301
401	2216	3297
402	2232	3307
403	2244	3311
404	2250	3306
405	2258	3304
406	2264	3299
407	2273	3298
408	2280	3295
409	2287	3291
410	2300	3297
411	2308	3294
412	2322	3301
413	2339	3312
414	2351	3314
415	2361	3315
416	2369	3312
417	2383	3319
418	2393	3318
419	2405	3321
420	2412	3317
421	2417	3311
422	2423	3306
423	2430	3301
424	2435	3295
425	2443	3292
426	2449	3286
427	2458	3285
428	2463	3279
429	2473	3278
430	2479	3273
431	2486	3269
432	2493	3264
433	2500	3261
434	2506	3255
435	2512	3250
436	2518	3245
437	2525	3239
438	2533	3237
439	2539	3232
440	2547	3229
441	2554	3224
442	2562	3221
443	2569	3217
444	2579	3216
445	2584	3210
446	2593	3209
447	2598	3202
448	2612	3206
449	2618	3200
450	2631	3202
451	2638	3198
452	2646	3196
453	2653	3190
454	2662	3188
455	2673	3189
456	2678	3182
457	2689	3183
458	2696	3178
459	2704	3174
460	2712	3171
461	2720	3168
462	2734	3171
463	2740	3165
464	2753	3168
465	2762	3165
466	2768	3159
467	2775	3155
468	2783	3151
469	2792	3148
470	2799	3143
471	2807	3140
472	2814	3135
473	2822	3132
474	2830	3128
475	2837	3123
476	2845	3119
477	2855	3118
478	2862	3113
479	2870	3110
480	2887	3115
481	2896	3113
482	2906	3111
483	2916	3108
484	2922	3103
485	2932	3101
486	2941	3098
487	2949	3095
488	2956	3089
489	2963	3084
490	2969	3078
491	2980	3077
492	2988	3072
493	2995	3067
494	3002	3062
495	3009	3058
496	3015	3052
497	3026	3050
498	3032	3044
499	3039	3039
500	3045	3033
501	3053	3029
502	3059	3023
503	3067	3018
504	3073	3012
505	3079	3006
506	3089	3004
507	3099	3001
508	3105	2995
509	3114	2992
510	3120	2986
511	3126	2979
512	3135	2976
513	3142	2971
514	3149	2966
515	3155	2960
516	3163	2955
517	3169	2949
518	3175	2943
519	3180	2935
520	3184	2927
521	3191	2922
522	3196	2915
523	3202	2909
524	3209	2903
525	3214	2896
526	3221	2891
527	3226	2884
528	3231	2877
529	3237	2871
530	3243	2864
531	3249	2858
532	3255	2852
533	3260	2845
534	3267	2840
535	3272	2832
536	3278	2826
537	3285	2821
538	3290	2814
539	3297	2809
540	3303	2803
541	3309	2796
542	3317	2791
543	3324	2786
544	3329	2779
545	3333	2772
546	3340	2766
547	3345	2759
548	3350	2752
549	3359	2748
550	3365	2742
551	3373	2738
552	3379	2731
553	3387	2726
554	3393	2720
555	3399	2714
556	3408	2710
557	3413	2703
558	3419	2697
559	3428	2693
560	3438	2690
561	3447	2687
562	3454	2681
563	3459	2674
564	3465	2668
565	3470	2661
566	3476	2654
567	3484	2649
568	3493	2646
569	3499	2640
570	3507	2634
571	3513	2628
572	3529	2630
573	3537	2625
574	3545	2620
575	3550	2613
576	3557	2607
577	3562	2600
578	3568	2594
579	3574	2588
580	3578	2580
581	3586	2575
582	3591	2568
583	3597	2562
584	3604	2556
585	3608	2549
586	3615	2543
587	3620	2536
588	3624	2529
589	3630	2523
590	3637	2517
591	3642	2510
592	3648	2504
593	3653	2497
594	3659	2491
595	3666	2485
596	3671	2478
597	3677	2472
598	3683	2465
599	3688	2459
600	3696	2454
601	3702	2447
602	3708	2441
603	3714	2435
604	3720	2429
605	3726	2423
606	3732	2416
607	3737	2409
608	3742	2402
609	3747	2395
610	3753	2389
611	3758	2383
612	3764	2376
613	3770	2370
614	3775	2363
615	3782	2357
616	3788	2351
617	3793	2345
618	3800	2339
619	3806	2332
620	3812	2326
621	3817	2320
622	3823	2313
623	3830	2307
624	3836	2302
625	3846	2298
626	3851	2291
627	3859	2286
628	3865	2279
629	3870	2273
630	3877	2267
631	3887	2263
632	3895	2258
633	3904	2253
634	3909	2247
635	3916	2241
636	3922	2235
637	3927	2228
638	3934	2222
639	3940	2216
640	3945	2209
641	3951	2203
642	3958	2197
643	3966	2192
644	3972	2186
645	3980	2181
646	3986	2175
647	3992	2168
648	3998	2162
649	4005	2156
650	4012	2151
651	4017	2144
652	4023	2137
653	4028	2131
654	4033	2124
655	4039	2118
656	4044	2111
657	4050	2105
658	4056	2098
659	4061	2092
660	4066	2085
661	4074	2080
662	4079	2073
663	4086	2067
664	4091	2061
665	4097	2054
666	4103	2048
667	4109	2042
668	4115	2036
669	4120	2029
670	4125	2022
671	4132	2016
672	4137	2010
673	4142	2003
674	4148	1997
675	4153	1990
676	4159	1984
677	4165	1978
678	4170	1971
679	4176	1965
680	4183	1959
681	4188	1952
682	4194	1946
683	4201	1940
684	4207	1934
685	4212	1928
686	4216	1921
687	4223	1915
688	4228	1908
689	4233	1902
690	4239	1895
691	4245	1889
692	4251	1883
693	4257	1877
694	4261	1870
695	4267	1863
696	4273	1857
697	4278	1851
698	4284	1844
699	4289	1838
700	4295	1832
701	4301	1826
702	4307	1819
703	4316	1814
704	4321	1808
705	4326	1801
706	4332	1795
707	4337	1789
708	4343	1782
709	4352	1777
710	4359	1771
711	4371	1768
712	4383	1764
713	4390	1758
714	4396	1752
715	4402	1746
716	4408	1739
717	4413	1733
718	4417	1726
719	4424	1720
720	4430	1714
721	4435	1707
722	4441	1701
723	4446	1695
724	4452	1689
725	4459	1683
726	4467	1677
727	4473	1671
728	4479	1665
729	4485	1658
730	4490	1652
731	4496	1646
732	4501	1639
733	4507	1633
734	4514	1627
735	4520	1621
736	4526	1615
737	4534	1609
738	4540	1603
739	4547	1597
740	4553	1591
741	4563	1586
742	4572	1581
743	4579	1575
744	4586	1569
745	4593	1563
746	4598	1557
747	4605	1551
748	4611	1545
749	4618	1539
750	4625	1533
751	4630	1527
752	4637	1521
753	4644	1515
754	4650	1509
755	4656	1502
756	4662	1496
757	4670	1491
758	4680	1486
759	4687	1480
760	4692	1473
761	4699	1467
762	4709	1462
763	4717	1457
764	4726	1451
765	4733	1445
766	4750	1443
767	4762	1438
768	4777	1435
769	4790	1430
770	4800	1425
771	4812	1421
772	4828	1417
773	4838	1412
774	4849	1407
775	4858	1402
776	4868	1397
777	4876	1391
778	4884	1385
779	4891	1379
780	4902	1374
781	4907	1368
782	4916	1362
783	4922	1356
784	4931	1350
785	4940	1345
786	4947	1338
787	4954	1333
788	4961	1326
789	4968	1320
790	4973	1314
791	4979	1307
792	4987	1301
793	4993	1295
794	4999	1289
795	5006	1283
796	5012	1276
797	5019	1270
798	5025	1264
799	5030	1257
800	5036	1251
801	5042	1244
802	5048	1238
803	5054	1232
804	5060	1225
805	5066	1219
806	5072	1213
807	5080	1207
808	5087	1201
809	5099	1196
810	5105	1189
811	5115	1184
812	5125	1178
813	5135	1173
814	5146	1168
815	5158	1163
816	5166	1157
817	5173	1151
818	5180	1144
819	5189	1139
820	5198	1133
821	5204	1127
822	5210	1120
823	5217	1114
824	5224	1108
825	5233	1102
826	5238	1095
827	5247	1090
828	5254	1083
829	5268	1079
830	5280	1073
831	5290	1068
832	5301	1062
833	5313	1057
834	5324	1052
835	5335	1046
836	5344	1040
837	5354	1035
838	5361	1028
839	5369	1022
840	5375	1016
841	5386	1010
842	5394	1004
843	5402	998
844	5411	992
845	5420	986
846	5429	980
847	5439	975
848	5449	969
849	5463	964
850	5471	958
851	5479	951
852	5486	945
853	5493	939
854	5499	932
855	5505	926
856	5513	919
857	5519	913
858	5525	906
859	5533	900
860	5540	894
861	5547	888
862	5553	881
863	5562	875
864	5569	869
865	5577	863
866	5585	856
867	5596	851
868	5605	844
869	5614	838
870	5626	833
871	5632	826
872	5640	820
873	5648	814
874	5656	808
875	5663	801
876	5669	795
877	5676	788
878	5681	782
879	5687	775
880	5693	769
881	5699	762
882	5706	756
883	5713	749
884	5723	743
885	5731	737
886	5737	730
887	5744	724
888	5750	718
889	5756	711
890	5762	704
891	5769	698
892	5775	692
893	5781	685
894	5787	678
895	5792	672
896	5800	666
897	5806	659
898	5812	653
899	5817	646
900	5824	639
901	5831	633
902	5839	627
903	5845	620
904	5854	614
905	5861	608
906	5870	601
907	5877	595
908	5884	589
909	5893	582
910	5900	576
911	5906	569
912	5914	563
913	5919	556
914	5926	550
915	5932	544
916	5937	537
917	5942	530
918	5949	524
919	5955	517
920	5961	511
921	5969	505
922	5975	498
923	5982	492
924	5989	485
925	5995	479
926	6001	472
927	6007	466
928	6012	459
929	6020	453
930	6026	446
931	6037	440
932	6043	434
933	6051	427
934	6059	421
935	6065	414
936	6072	408
937	6078	401
938	6084	395
939	6089	388
940	6097	382
941	6102	375
942	6108	369
943	6114	362
944	6119	356
945	6128	349
946	6133	343
947	6139	336
948	6147	330
949	6159	324
950	6167	317
951	6176	311
952	6187	305
953	6195	298
954	6203	292
955	6209	285
956	6217	279
957	6225	272
958	6233	266
959	6241	260
960	6251	253
961	6257	247
962	6264	240
963	6271	234
964	6278	227
965	6285	221
966	6291	214
967	6297	208
968	6303	201
969	6310	195
970	6316	188
971	6322	182
972	6329	175
973	6335	169
974	6343	162
975	6350	156
976	6358	149
977	6366	143
978	6374	136
979	6383	130
980	6391	123
981	6397	117
982	6403	110
983	6410	104
984	6417	97
985	6424	91
986	6432	84
987	6440	78
988	6446	71
989	6453	65
990	6459	58
991	6464	52
992	6469	45
993	6476	39
994	6485	32
995	6492	26
996	6499	19
997	6504	13
998	6510	6
999	6516	0
